productName,productSlug,submittedAt,overallRating,easeOfUse,easeOfSetup,meetsRequirements,qualityOfSupport,reviewTitle,pros,cons,problemsSolved,didSwitchFromCompetitor,previousCompetitors,whySwitched,reviewerRole,reviewerIndustry,companySize,reviewerCountry,isIncentivized,reviewUrl,reviewId
Zoom Workplace,zoom-workplace,2026-06-18T08:41:32+00:00,5,7,7,7,4,User-Friendly UI/UX with Neatly Organized Meeting Controls,"The best part is the UI/UX: it’s user-friendly and easy to use. All the options are placed neatly based on their utility, especially the essential ones you need while conducting a meeting.","There is common issue of not detecting camera in multiple devices which I had noticed recently you consider from month of March 2026, unless we restart the entire process 2 to 3 times it.","It’s easy to send invitations and connect with invitees, which is helpful since our organization has frequent internal and external meetings.",True,Teams Manager for Microsoft Teams,System Limitations,Administrator,Sports,SMB,India,True,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12975735,12975735
Zoom Workplace,zoom-workplace,2026-06-17T16:05:53+00:00,5,6,5,,,Makes Remote Team Meetings Effortless,it makes meeting as a team so much easier when we are not in the same place.,Sometimes finding the links for each meeting can be hard,It is an easy way to get everyone in the same place.,False,,,Administrator,Non-Profit Organization Management,SMB,United States,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12972458,12972458
Zoom Workplace,zoom-workplace,2026-06-17T08:16:22+00:00,5,6,7,6,6,Zoom’s Whiteboard Sharing Makes Discussions Shine,The best about zoom is its white board sharing during discussions,Dislike about zoom is the quality of its transcript,"For scheduling meetings, screensharing. Inviting right parties to the meeting.",False,,,User,Computer Software,Mid-Market,India,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12969988,12969988
Zoom Workplace,zoom-workplace,2026-06-17T07:54:06+00:00,4,,,,,"Cost-Effective, Yet Needs a Friendlier UI","I like that Zoom Workplace makes it easier than planning a trip to another city and coordinating with clients, and it’s more cost-effective even with a business account. I also appreciate the ability to set up meetings in a short span of time and the ease of face-to-face communication and screen sharing. It's nice that Zoom became widely available since most people started using it during COVID, so there's no need to install a new application. I also enjoy that some AIs have started taking notes within Zoom, which is a good addition I haven’t seen on other platforms. The initial setup was quite easy, just needing a login email and password.","There is slightly lesser ease of use, the UI is not so easy to navigate for everyone. Without a business account, it sometimes shows a time limit for the meet. Also, the app consumes a lot of RAM on my laptop, so I prefer running it from the browser. Just make the interface more user-friendly; otherwise, everything seems good.","Zoom Workplace makes meeting clients from different cities easier and cost-effective than traveling. It allows quick meeting setups, face-to-face communication, and screen sharing. It's broadly available, and AI note-taking is useful.",False,,,,,SMB,India,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12969911,12969911
Zoom Workplace,zoom-workplace,2026-06-16T17:11:51+00:00,5,,,,,"Effortless Navigation, Ideal for Education","I love that Zoom Workplace is super easy to navigate and super simple to learn. It makes holding meetings and listening to classes a breeze. The setup was super easy, very, very easy. I just use regular Zoom meeting workplace, and it's super easy to follow and talk in class.",love it,"Zoom Workplace helps me record meetings and get feedback, which is really useful for classes and homework.",False,,,,,SMB,United States,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12966680,12966680
Zoom Workplace,zoom-workplace,2026-06-16T16:30:54+00:00,5,7,7,7,7,Reliable Video Conferencing with Strong Video Quality and Super Secure Instant Messaging,It has been the most reliable platform for video conferencing with consistently strong video quality and simple screen sharing for quick collaboration and I like that it scales well from small team calls to large presentations and webinars.,I cannot come up with anything that was particularly problematic with this platform and it doesn’t have any bugs.,"The video calls, instant chat and screen sharing makes communication efficient and helps collaborate with team members in real time and also sharing of files in very convenient for teamwork.",False,,,User,Chemicals,SMB,United States,True,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12966306,12966306
Zoom Workplace,zoom-workplace,2026-06-15T20:01:46+00:00,5,6,6,6,5,User-Friendly and Easy to Navigate,User friendly and easy to navigate even for first time users,I have had the system crash a couple times in the middle of a meeting,Solves the issue of everyone having to be in one place to effectively communicate,False,,,Administrator,Primary/Secondary Education,Mid-Market,United States,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12962127,12962127
Zoom Workplace,zoom-workplace,2026-06-15T07:15:31+00:00,5,7,,7,7,"Easy, Reliable Collaboration in One Platform with Zoom Workplace","What I like best about Zoom Workplace is its ease of use and reliability. It makes communication and collaboration simple through video meetings, chat, screen sharing, and file sharing in one platform. The audio and video quality are good, and it helps teams stay connected and productive whether working remotely or from the office","One thing I dislike about Zoom Workplace is that it can sometimes consume a lot of system resources, which may affect performance on older devices. Occasionally, connectivity issues or meeting lag can occur when internet connections are unstable. Some advanced features also have a learning curve for new users","Zoom Workplace solves the challenge of effective communication and collaboration for remote and hybrid teams. It brings meetings, chat, phone, and file sharing into one platform, making it easier to stay connected, coordinate tasks, and share information quickly. This benefits me by improving productivity, reducing communication gaps, and helping me collaborate efficiently with colleagues regardless of location",False,,,,Staffing and Recruiting,Mid-Market,India,True,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12958814,12958814
Zoom Workplace,zoom-workplace,2026-06-12T11:04:31+00:00,5,6,,6,5,Zoom Workplace review,"What I liked most about the Zoom Workplace platform is its virtual accessibility. It’s ideal for direct communication between individuals and/or groups, and it can be used for a plethora of different purposes.","Sometimes the app lags in the middle of a meeting, and I’ve also run into occasional login issues. Even so, I still enjoy the experience overall during the times I’ve used it.","Zoom Workplace solves problems by enabling video conferencing from anywhere, bringing communication together and helping minimize the need for separate communication channels or tactics.",False,,,,Information Services,SMB,United States,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12952523,12952523
Zoom Workplace,zoom-workplace,2026-06-12T09:50:57+00:00,5,7,7,7,6,Seamless Video Conferencing with Some Pricing Concerns,"I really like the screen sharing option in Zoom Workplace. It allows me to easily share my screen during calls with clients or vendors, and I can show whatever I need from my laptop directly to them. The video conference feature is also impressive because it works smoothly without buffering, even with a small bandwidth internet connection. It's a relief to see my client's video over the Zoom call without any interruption. The initial setup was very easy, too.",The only thing I can suggest right now is the pricing. They should have some report functionalities as well.,"I use Zoom Workplace for virtual meetings and collaboration. I can easily create and send invites to clients, share my screen, and conduct video calls with minimal buffering, even on low bandwidth. The screen sharing feature is great.",False,,,Administrator,Apparel & Fashion,SMB,India,True,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12952351,12952351
Zoom Workplace,zoom-workplace,2026-06-11T22:57:44+00:00,4,6,,6,5,Seamless Cross-Platform Meetings with Powerful Collaboration Tools,"The seamless cross-platform experience stands out the most. Whether joining from desktop, mobile, or a web browser, the interface remains consistent and the connection quality is reliable. The one-click meeting join and calendar integrations (Google, Outlook) significantly reduce friction for scheduling and attendance. Features like breakout rooms, live transcription, and the whiteboard tool make it genuinely useful beyond just video calls — it covers the full collaboration workflow in one place.","The most notable pain point is resource consumption — Zoom can be significantly heavy on CPU and RAM, especially during longer calls or when virtual backgrounds are enabled, which affects overall system performance. The free plan's 40-minute meeting limit feels restrictive for team collaboration. Additionally, the app has grown quite bloated over time; features like Zoom Mail, Zoom Docs, and the AI Companion add complexity to what was originally valued for its simplicity. Security and privacy concerns from past incidents also linger as considerations for enterprise users.","Zoom Workplace primarily solves the challenge of distributed team collaboration — bringing together video conferencing, messaging, file sharing, and scheduling into a single platform rather than switching between multiple tools. For day-to-day use, this means fewer context switches and a more streamlined workflow. It eliminates geographical barriers for meetings, making remote and hybrid work genuinely viable without a significant drop in communication quality. The persistent chat and channel features also help maintain team alignment asynchronously, so not every update requires a live meeting. Overall, it reduces the coordination overhead that typically slows down distributed teams.",False,,,,Higher Education,SMB,Turkey,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12951102,12951102
Zoom Workplace,zoom-workplace,2026-06-11T07:24:09+00:00,4,,,,,"Versatile for Webinars, Easy Setup but Limited Participants","I enjoyed the fact that I could speak to multiple people at the same time, which makes it easier to reach my workers when needed. Glad the app doesn’t have a paid feature, it is free, and easy to use. The initial setup of Zoom Workplace was really quick, taking about one to two minutes.","I believe the number of participants could be increased. It has a limited number of participants, so I can't make a very large conference call with Zoom Workplace.","I use Zoom Workplace for webinars, hosting classes and educating people. It allows me to speak to multiple people at once and reach my workers easily. The network service is good with minimal transmission breaks, and speaking to others is free.",False,,,,,SMB,Nigeria,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12947091,12947091
Zoom Workplace,zoom-workplace,2026-06-09T22:39:21+00:00,5,7,7,7,7,AI Translator Makes It Easy to Replay and Review Conversations which is really helpful with my email,I love the Ai translator afterwards so I can replay and find what we talked about.,"Nothing comes to mind, possibly larger fonts",Getting to meet my clients- allowing for a more personal experience and trust to be built earlier on ibn our relationship,False,,,Administrator,E-Learning,Mid-Market,United States,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12940498,12940498
Zoom Workplace,zoom-workplace,2026-06-08T17:39:38+00:00,5,7,,7,7,User-Friendly Interface That’s Easy to Use,The user-friendly interface and overall ease of use make it very likeable.,"Sometimes it glitches, and meetings end without any prior notice.","It helps me record meetings and keep track of them all in one place, so everything stays organized and easy to find.",False,,,,"Leisure, Travel & Tourism",SMB,Thailand,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12933555,12933555
Zoom Workplace,zoom-workplace,2026-06-08T04:11:15+00:00,5,7,7,6,5,Academic Collaboration became easy,"This is best software for me to take online classes and workshops for my students, quality of video calling is superb and the software interface is easy to use.","sometimes there are connectivity issue comes, but the internet speed of my institution is very good still sometimes the calls getting disconnected which is a big concern for me.","Zoom Workplace enables smooth remote communication and collaboration, saving time by reducing the need for in-person meetings. It also supports hybrid teaching and helps ensure continuity of learning. By centralizing communication tools in one place, it improves productivity and strengthens engagement across a wide range of academic activities.",False,,,User,Higher Education,Enterprise,,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12930227,12930227
Zoom Workplace,zoom-workplace,2026-06-06T11:03:42+00:00,5,7,7,7,7,"Easy to Use, Affordable, and Great Performance","easy use, affordable price, ready for everyone, good performance,",not compatible with newest processor like no sound while playing video,I use zoom for internal meeting and external meeting so I think it helped me for discussing,False,,,Administrator,Manufacturing,SMB,Indonesia,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12927397,12927397
Zoom Workplace,zoom-workplace,2026-06-05T20:08:00+00:00,5,6,6,6,5,Made Remote Meetings Much Easier,"What i like the most is that it just works. setting up meetings is simple, the call quality is good, and it's easy for everyone on the team to use.","Sometimes meeting take a moment to connect, and a few settings can be confusing when you're trying to change them quickly. We also had occasional issues with screen sharing.","It helped us handle meetings with remote team members and clients more easily. Communication became quicker, and we could collaborate without needing to be in the office.",False,,,User,Computer Software,Mid-Market,India,True,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12925904,12925904
Zoom Workplace,zoom-workplace,2026-06-05T18:12:55+00:00,5,7,7,7,7,Zoom Workplace Opens Up New Opportunities Through Meetings and Live Workshops,Zoom Workplace enables me to meet folks outside of my organization and area. I can also attend live workshops and programs I wouldn't otherwise be able to attend. Zoom Workplace has opened up so many opportunities!,"The only downside to Zoom Workplace is when Internet service is disrupted, which brings the whole meeting to a stop.",Zoom Workplace is helping me be able to meet others in my field and to learn from them. I'm astounded at how well we have all been able to adapt to online learning and professional meetings!,False,,,Administrator,E-Learning,Mid-Market,United States,False,https://www.g2.com/products/zoom-workplace/reviews/zoom-workplace-review-12925228,12925228
Google Workspace,google-workspace,2026-06-18T21:13:24+00:00,5,6,5,6,3,Seamless Synchronization Across All Apps,Seamless synchronization among all applications or application suites.,"When I need support for a very specific issue (for which the solution isn't in the knowledge base or in YouTube tutorial videos), I don't usually get a timely response from Google.",Collaborative work among members of my organization helps everyone make the most of their time.,False,,,Administrator,Construction,SMB,Venezuela,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12979592,12979592
Google Workspace,google-workspace,2026-06-18T08:43:56+00:00,5,6,,6,,Made Group Projects and Notes Sharing Much Easier for Me,,,,False,,,,Higher Education,SMB,India,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12975786,12975786
Google Workspace,google-workspace,2026-06-17T18:06:59+00:00,4,7,6,,,Reliable Collaboration Platform for Modern Businesses,,,,False,,,Consultant,Computer & Network Security,SMB,United Kingdom,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12973377,12973377
Google Workspace,google-workspace,2026-06-17T15:25:56+00:00,5,7,7,6,7,"Intuitive, Flexible Platform with Easy Integrations and Strong Privacy Controls","Intuitive interface, flexible features, with plenty of material to research how they work. The platform is easy to integrate with many 3rd party tools. Also it provides just enough visibility while also protecting user's privacy.","While the product protects end-users's privacy from the admins, this is not very helpful for investigations or findings validation and 3rd party tools are required to implement end-to-end processes.","Platform provides functionality enablement by Organizational Unit, which means you can get quite granular feature or permission settings, this is very useful for global companies dealing with multiple privacy regulations and country preferences.",True,Microsoft 365,We were going off on-prem into Cloud provider and Google Workspace was a pioneer of office in the cloud,Administrator,Facilities Services,Enterprise,United Kingdom,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12971944,12971944
Google Workspace,google-workspace,2026-06-17T12:06:00+00:00,5,7,7,7,7,Super Easy Document Sharing and Video Meetings Work Reliably Making it Excellent for Collaboration,"The platform integrates essential tools including meetings, chat, email and document storage thereby enabling smooth team communication, collaboration and engagement.",Nothing to dislike really this platform has it all the features we need to centralized communication and customer support is great.,It enhances collaboration by ensuring teams can work on the same document at the same time and facilitates effective video conferencing which helps communicate with my team in real time.,False,,,User,Telecommunications,Mid-Market,United States,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12970665,12970665
Google Workspace,google-workspace,2026-06-17T08:10:24+00:00,5,7,6,6,1,Google Workspace: A Comprehensive Hub for All Our Official Tasks,The best about Google Workspace is its a comprehensive single place for any kind of official tasks,Automation related stuffs are lacking in Google Workspace,"I use multiple applications available from Google Workspace like email, gmeet, sheets, docs, etc.,",False,,,User,Computer Software,Mid-Market,India,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12969958,12969958
Google Workspace,google-workspace,2026-06-16T15:50:21+00:00,5,7,7,7,7,Consistently Reliable Workspace with Smooth Video Conferencing and Very Convenient for File Storage,"The easy access of email, chat, document management and video meetings enables us to effectively communicate and collaborate from a unified ecosystem.",It has been very reliable for meetings and excellent for collaboration across teams with no major issues faced.,"The platform makes it simple to join meetings and keeps files, notes and meeting recordings organized which helps improve productivity and streamlines communication workflows.",False,,,User,Retail,Mid-Market,United States,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12966028,12966028
Google Workspace,google-workspace,2026-06-16T12:56:56+00:00,5,7,,6,6,AI Studio Tools That Effortlessly Automate Email Notifications and Categorization,"The latest AI studio tools help me automate a lot of things, like sending notifications when key people email me and automatically categorizing emails that require my response.","I’m still waiting for the integration with third-party tools in the new AI Studio, so I can automate workflows—like creating a Jira task directly from a client email.","It helps me stay in the loop with the teams and track their performance. I also use it to maintain separate chat groups for our 24/7 SLA support projects, where I receive automatic notifications whenever a ticket is created.",False,,,,Computer Software,Mid-Market,United Arab Emirates,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12964840,12964840
Google Workspace,google-workspace,2026-06-16T08:51:46+00:00,5,,,,,Essential for Seamless Team Collaboration,"I like how Google Workspace's Calendar automatically creates events when it detects reservations or appointment confirmations in emails, even though our staff doesn't use it deliberately. It's really beneficial for us, especially when a program coordinator books flights or when venue confirmations come through. The details just appear on the calendar without anyone manually entering anything.","Offline access is inconsistent across the suite tools. Some apps let you keep working without an Internet connection, but the coverage is not complete. Our staff working in areas with unreliable connectivity runs into this regularly. It's frustrating when trying to update a sheet from a location with no signal, as it makes keeping track of what actually saves once the connection returns hard.","I use Google Workspace to centralize documents, solving version control issues and enabling real-time edits by the team. It eliminates outdated file mishaps since everyone accesses the same version simultaneously, removing the chaos of multiple edits.",False,,,,,SMB,United States,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12963975,12963975
Google Workspace,google-workspace,2026-06-16T08:48:00+00:00,5,7,,6,,"Google Workspace: The Backbone for Group Projects, Sharing, and Cloud Storage","As an engineering student, Google Workspace is basically the backbone of all our group projects. I use Google Docs extensively to write and format final project reports simultaneously with my batchmates. Google Drive is a lifesaver for storing all my component datasheets, circuit diagrams, and C++ code backups for my microcontroller setups. It also makes sharing resources and event details with my robotics club members incredibly simple. Also, pushing live sensor data from Wi-Fi modules directly into Google Sheets is a great feature for hardware testing.","Formatting programming code in Google Docs is quite frustrating. Whenever I paste my Arduino or embedded C code into a document for an assignment submission, the indentation gets totally ruined, and there is no native ""code-block"" formatting option. Also, the offline mode for Google Drive can sometimes be a bit unreliable if the internet connection drops suddenly in our college lab.","It completely solves the problem of messy file sharing. Earlier, we used to send Word documents back and forth over WhatsApp for our project reports, which led to multiple confusing versions. Now, my entire team can edit the same presentation or report at the exact same time. It keeps all my academic documents, club activities, and project data perfectly organized in the cloud without needing to carry a pen drive everywhere.",False,,,,Higher Education,SMB,India,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12963922,12963922
Google Workspace,google-workspace,2026-06-16T08:10:13+00:00,5,7,7,7,5,"Nahtlose Zusammenarbeit dank integrierter Tools wie Gmail, Drive & Docs","The many functions (Gmail, Drive, Sheets, Docs, etc.) integrate seamlessly with each other. The entire team can work with it intuitively and collaboratively. The costs for sufficient storage space are kept within limits.",Support is hard to reach when it needs to go beyond FAQ & Chat.,"We can cover a wide range of business fields with a single provider and thus minimize the tool landscape. Employees can work productively in Docs and Sheets simultaneously. Through the shared storage, company knowledge remains securely accessible to everyone and can be well managed through rights and role management.",False,,,Administrator,Information Technology and Services,SMB,Germany,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12963763,12963763
Google Workspace,google-workspace,2026-06-15T18:36:57+00:00,5,7,7,7,7,Efficient Platform To Enhance Document Management and Ensure Solid Communication Across Teams,"I can create and edit documents, sheets and slides in real time with others which makes teamwork fast and I like how Meet and Calendar are seamlessly connected making organizing meetings simple.",The functionality of this platform is excellent because it has consistently met our needs without any issues.,"It has improved document management, supports unified communication and team collaboration through meetings and instant messaging which makes it easy for teams to stay organized and boost productivity.",False,,,User,Chemicals,SMB,United States,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12961755,12961755
Google Workspace,google-workspace,2026-06-15T17:15:20+00:00,5,7,7,7,,Seamless real-time collaboration with smart built-in AI,,,,False,,,User,Furniture,Enterprise,Canada,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12960554,12960554
Google Workspace,google-workspace,2026-06-15T13:59:25+00:00,5,7,4,,,Time-Efficient Tool with Helpful Business Insights,It’s time-efficient and provides helpful business insights.,"Sometimes it makes me log in to my console twice, which is really frustrating.","I use it strictly for all business correspondence, and not for my clients.",False,,,Administrator,Information Services,SMB,United States,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12960237,12960237
Google Workspace,google-workspace,2026-06-15T13:29:24+00:00,5,6,6,6,4,Empowers Seamless Collaboration Across Platforms,"I mainly use Google Workspace for collaboration and document management in my team. It's quite handy for sharing files and tracking projects in real time. I specifically use Drive to backup all of my contracts. Gmail is used as my only email tool. I save back-ups of all of my onboarding documents in Drive too. Any internal audit is also conducted using mostly Google Sheets. I appreciate how I can share documents directly with my team and connect easily with clients to share content. It works really well with the native apps and integrates very well with third-party applications, making it easy to integrate. This integration has helped me eliminate the need for some systems I used before and saved me time. The initial setup was very easy; we set it up within one day.","Some of the AI functionality was efficient, but now I think it's hallucinating a little bit more. This leads to me spending more time reviewing and redoing some of the functions that AI was trying to carry out - especially with Gmail, I find the tone or the phrasing of the AI suggestions are getting further away from my preferred tone.","I use Google Workspace to share documents directly with my team, connect easily with clients, and save time by eliminating unnecessary systems. Since Google Workspace provides native apps like email, cloud storage, and document editing software, it really replaced the need for extra tools in my workflow.",False,,,Administrator,Consulting,SMB,Canada,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12960016,12960016
Google Workspace,google-workspace,2026-06-15T06:55:06+00:00,5,7,,6,6,Google Workspace’s Real-Time Collaboration Boosts Efficiency,"I really appreciate the collaboration features of Google Workspace as all the tools including Gmail, Docs, Sheets, and Meet can be utilized for real-time collaboration. The cloud-based nature of the application along with good performance and integration capabilities contributes towards improved efficiency.",nothing to add this time from my side everything seems fine,"It solves problems such as scattered communication, file exchange, and teamwork using all these components under one platform. This helps me by enhancing my productivity through collaboration and access from anywhere.",False,,,,Computer Software,SMB,India,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12958759,12958759
Google Workspace,google-workspace,2026-06-14T13:27:55+00:00,5,7,,6,,Perfect for managing my B.Sc. assignments and lab work,"As a 5th-semester B.Sc. student, Google Workspace is a lifesaver for me. I mainly use Google Docs, Sheets, and Drive. I have to write a lot of long monographs, project reports, and lab records for my Physics, Chemistry, and Forensic Science subjects. Google Docs makes writing and formatting super easy. Plus, Google Drive gives me a safe place to store all my study materials, PDFs, and trace evidence photos from practicals. I love that I can quickly open my notes from my phone when I am attending classes at Dr. Hari Singh Gour University, or just use my laptop when I'm studying in my room.","It's great, but sometimes formatting complex mathematical equations and derivations for my physics assignments can be a bit frustrating in Google Docs compared to MS Word. Also, you need a stable internet connection for the auto-save to work perfectly. Sometimes the mobile network on our campus fluctuates, and if I forget to turn on the offline mode, the syncing gets a bit glitchy.","It saves me from the fear of losing my hard work. Earlier, I used to worry about losing my pen drive or laptop crashing with all my forensic case studies and lab readings inside it. Now everything is automatically backed up on the cloud. Also, when we have group assignments, my classmates and I just share a single Google Doc link and work on it together at the exact same time. It saves so much time right before submission deadlines.",False,,,,Higher Education,SMB,India,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12957410,12957410
Google Workspace,google-workspace,2026-06-13T05:53:57+00:00,5,5,,6,6,Google Docs & Slides AI Features Help Me Get Things Done,"I usually work in the workspace when I need to create a document or a presentation. I use Google Docs and Google Slides, and the new AI features really help me get things done.","The UI is good, but I don’t like the new update icons this month. the support responses are not prompt always takes time",My team stays connected and in sync on documents and sales decks in Google Workspace.,False,,,,Information Technology and Services,SMB,India,True,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12871295,12871295
Google Workspace,google-workspace,2026-06-12T16:17:36+00:00,5,7,6,7,6,"Clear UI, Easy Integrations, and Strong ROI with Gemini AI",,,,False,,,User,Financial Services,Mid-Market,Côte d'Ivoire,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12953885,12953885
Google Workspace,google-workspace,2026-06-11T20:15:08+00:00,5,7,,7,6,Seamless Real-Time Collaboration That Boosts Team Productivity,"6What I like best about Google Workspace is its seamless collaboration features. Apps like Docs, Sheets, and Meet allow teams to work together in real time, making communication, file sharing, and productivity much more efficient.","A common dislike about is that some advanced features are only available in higher-tier plans, and managing large numbers of files and permissions can sometimes become complex.","It solves collaboration, communication, and document management challenges by providing email, cloud storage, real-time editing, and virtual meeting tools in one platform. This benefits users by improving teamwork, increasing productivity, and enabling seamless work from anywhere",False,,,,Accounting,SMB,India,False,https://www.g2.com/products/google-workspace/reviews/google-workspace-review-12950607,12950607
Trello,trello,2026-06-17T10:22:04+00:00,5,7,7,6,7,Simple tool for project and task management.,What I love the most is its simplicity and visual approach to task management honestly. Actually the board and card system is just awesome it makes so many things easy to do. Its performance is inhanced in newer versions .,I think actually trello can feel limited when managing large or highly complex workflows actually some additional power ups are needed . Yaa else is fine,Trello helps our team in organizing tasks assigning responsibilities and tracking projects in one place . Also its support team is very responsible and pricing is also reasonable.,True,Asana,Trello was actually easier to use and required less training for team members.,User,Marketing and Advertising,SMB,India,True,https://www.g2.com/products/trello/reviews/trello-review-12970351,12970351
Trello,trello,2026-06-15T16:20:40+00:00,5,7,7,7,7,Efficient task management and team collaboration with Trello,"As a software engineer, I like Trello because it keeps project tasks organized in a simple and visual way. The boards, lists, and cards make it easy to track features, bugs, and development tasks. I also like the flexibility of adding checklists, comments, attachments, and labels, which helps with team collaboration and keeping work details in one place.","The main thing I dislike is that some advanced project management features, like detailed reporting and complex workflow tracking, are limited compared to more enterprise-focused tools. For larger projects with many teams, managing a high number of cards can sometimes become difficult.","Trello has helped me improve task organization, manage my development workflow better, and keep track of priorities. It makes collaboration easier by providing clear visibility into what tasks are in progress, completed, or pending, which helps the team deliver work more efficiently.",False,,,User,Accounting,SMB,India,False,https://www.g2.com/products/trello/reviews/trello-review-12961004,12961004
Trello,trello,2026-06-15T10:45:11+00:00,4,6,7,7,6,"Comprehensive, Easy-to-Use Tool for Dynamic Projects","I find the kanban style interface of Trello is very clean and visual which in turn makes it easy to use and allowing me to see the state of a project immediately without a large learning process. As an engineer, the better automation is a game changer for me as it helps manage tasks efficiently. Trello's integration with Stack is excellent, keeping our team on the same page without in-depth manual updates, making it great for dynamic collaborative projects. The Kanban system and superior notification system are outstanding, along with its simple and affordable pricing. The adaptive design helps me a lot in my job. Setting up Trello was very easy for me, and I use it without any hassle.","Honestly, Trello crumbles as soon as the project expands, as it becomes incredibly disorganised. In fact, there is no native integration with key Agile features, such as sprint planning and engineering ketrices, which means that tracking your own team or viewing burndown charts is out of that, being engineer, I find that the editor is very irritating.","Trello makes it easy to use with a clean, visible interface. I can quickly assess project status, benefit from better automation, seamless GitHub integration for engineering tasks, and enjoy dynamic collaboration without manual updates.",False,,,User,Non-Profit Organization Management,Mid-Market,India,False,https://www.g2.com/products/trello/reviews/trello-review-12959465,12959465
Trello,trello,2026-06-11T14:44:56+00:00,5,6,6,6,7,User-Friendly Boards That Keep Tasks Clear and Prioritized,"Trello is a very user-friendly to-do list. The cards and boards provide ease of use and help the tasks be kept in various states like 'to do', 'in progress' and 'done'. It gives you a good visual outline of all of the tasks and helps the daily work be prioritized, as well as helping for team updates to be communicated.","Trello is not ideal for complex project management. There is no support for advanced reporting, dependency tracking, or extensive customization of workflows. When there are a lot of tasks boards can quickly become cluttered and unwieldy.","It addresses the challenge of simple task management by being an incredibly visual way of tracking work and a good solution to get work organized, monitor its progress, and make it visible. The team collaboration aspect is simple and works because users are able to quickly update work statuses to keep teams in sync within lightweight work streams.",False,,,User,Information Technology and Services,Enterprise,India,True,https://www.g2.com/products/trello/reviews/trello-review-12948803,12948803
Trello,trello,2026-06-09T15:52:01+00:00,5,7,7,7,,"Trello: Low-Overhead, High-Value Tool I’ve Loved for Years","The best low-overhead, valuable program I have used for years.",There isn't anything I don't like about Trello.,Keeps me organized and stores all of my main information for each client.,False,,,User,Marketing and Advertising,SMB,United States,False,https://www.g2.com/products/trello/reviews/trello-review-12909801,12909801
Trello,trello,2026-06-09T06:08:34+00:00,5,6,6,7,6,"Simple, Visual Project Tracking with Helpful Checklists and Butler Automation","We use Trello for project management, and its boards-and-cards system is both simple and highly visual. At a glance, you can tell exactly what stage each task is in just by looking at the board. The checklists inside cards are especially helpful for breaking work down into smaller, manageable steps and keeping track of what’s been done. Butler automation is also quite good: it can automatically move cards and send reminders based on the rules you set, so you don’t have to manage those updates manually every time.","Trello can get a bit messy when a project grows. Having too many cards on one board quickly becomes overwhelming and hard to manage. The free plan also feels quite limited; most useful power-ups require a paid plan, which comes across as a bit unfair. And for complex projects with dependencies between tasks, Trello falls short—it’s just not built for that kind of complicated project management.","Earlier, we used to track project tasks in WhatsApp groups and Excel sheets, which was a complete mess. Things would get missed, and nobody really knew who was working on what. Trello solved that completely. Now every task has its own card with an assignee, due date, and checklist, so everyone knows exactly what they need to do and what’s coming up next. It’s made our project management far more transparent, organised, and easier to follow.",False,,,User,Computer Software,SMB,India,True,https://www.g2.com/products/trello/reviews/trello-review-12929381,12929381
